2024 Passenger Rank,Airport Code,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q2-2025)
1,LAX,Los Angeles,CA,413.68,413.68
2,ORD,Chicago-O'Hare,IL,371.91,371.91
3,DEN,Denver,CO,363.47,363.47
4,ATL,Atlanta,GA,418.60,418.60
5,BOS,Boston,MA,377.15,377.15
6,EWR,Newark,NJ,427.44,427.44
7,DFW,Dallas-DFW,TX,418.34,418.34
8,SEA,Seattle,WA,400.25,400.25
9,MCO,Orlando,FL,284.54,284.54
10,SFO,San Francisco,CA,445.13,445.13
11,PHX,Phoenix,AZ,378.81,378.81
12,LGA,New York-La Guardia,NY,358.83,358.83
13,JFK,New York-JFK,NY,431.52,431.52
14,LAS,Las Vegas,NV,284.74,284.74
15,MSP,Minneapolis,MN,401.09,401.09
16,IAH,Houston-Intercontinental,TX,422.67,422.67
17,PHL,Philadelphia,PA,417.63,417.63
18,SAN,San Diego,CA,375.91,375.91
19,FLL,Fort Lauderdale,FL,276.39,276.39
20,DTW,Detroit,MI,419.50,419.50
21,DCA,Washington-Reagan National,DC,374.49,374.49
22,TPA,Tampa,FL,331.55,331.55
23,BWI,Baltimore,MD,364.51,364.51
24,MIA,Miami,FL,346.50,346.50
25,AUS,Austin,TX,393.72,393.72
26,CLT,Charlotte,NC,439.81,439.81
27,PDX,Portland,OR,383.85,383.85
28,BNA,Nashville,TN,363.95,363.95
29,SLC,Salt Lake City,UT,450.03,450.03
30,RDU,Raleigh/Durham,NC,355.40,355.40
31,SMF,Sacramento,CA,395.67,395.67
32,HNL,Honolulu,HI,390.25,390.25
33,MDW,Chicago-Midway,IL,310.93,310.93
34,STL,St. Louis,MO,412.71,412.71
35,IAD,Washington-Dulles,DC,462.97,462.97
36,SJC,San Jose,CA,341.37,341.37
37,MCI,Kansas City,MO,423.86,423.86
38,DAL,Dallas-Love Field,TX,342.53,342.53
39,IND,Indianapolis,IN,378.72,378.72
40,CLE,Cleveland,OH,370.08,370.08
41,PIT,Pittsburgh,PA,367.10,367.10
42,OAK,Oakland,CA,324.46,324.46
43,MSY,New Orleans,LA,333.69,333.69
44,SJU,San Juan,PR,277.26,277.26
45,SAT,San Antonio,TX,407.61,407.61
46,CVG,Cincinnati,OH,364.95,364.95
47,SNA,Santa Ana,CA,406.95,406.95
48,CMH,Columbus,OH,393.45,393.45
49,HOU,Houston-Hobby,TX,359.45,359.45
50,RSW,Fort Myers,FL,344.56,344.56
51,BDL,Hartford,CT,373.32,373.32
52,PBI,West Palm Beach/Palm Beach,FL,358.85,358.85
53,ONT,Ontario,CA,375.80,375.80
54,JAX,Jacksonville,FL,410.39,410.39
55,BUR,Burbank,CA,316.68,316.68
56,MKE,Milwaukee,WI,414.72,414.72
57,BUF,Buffalo,NY,331.26,331.26
58,RIC,Richmond,VA,402.52,402.52
59,CHS,Charleston,SC,356.44,356.44
60,OMA,Omaha,NE,434.91,434.91
61,BOI,Boise,ID,391.38,391.38
62,ORF,Norfolk,VA,397.25,397.25
63,MEM,Memphis,TN,402.24,402.24
64,ABQ,Albuquerque,NM,412.80,412.80
65,PVD,Providence,RI,332.98,332.98
66,GRR,Grand Rapids,MI,407.67,407.67
67,SDF,Louisville,KY,391.55,391.55
68,OKC,Oklahoma City,OK,447.30,447.30
69,ELP,El Paso,TX,397.56,397.56
70,ANC,Anchorage,AK,518.30,518.30
71,GEG,Spokane,WA,414.27,414.27
72,OGG,Kahului,HI,315.73,315.73
73,RNO,Reno,NV,390.81,390.81
74,LGB,Long Beach,CA,345.59,345.59
75,TUS,Tucson,AZ,434.60,434.60
76,SYR,Syracuse,NY,395.37,395.37
77,DSM,Des Moines,IA,380.88,380.88
78,ALB,Albany,NY,421.75,421.75
79,TUL,Tulsa,OK,435.94,435.94
80,BHM,Birmingham,AL,489.07,489.07
81,SRQ,Sarasota/Bradenton,FL,324.29,324.29
82,HPN,White Plains,NY,383.46,383.46
