year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,location_1,location_2,location_1_city,location_2_city
2025,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7594.175824,195.7345869,AS,0.6002865122,201.024812,AS,0.6002865122,201.024812,-1,,,,
2025,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,5838.666667,188.1956897,AS,0.6182157266,192.2844795,AS,0.6182157266,192.2844795,-1,,,,
2024,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7596.521739,196.8518601,AS,0.6258012821,201.7234704,AS,0.6258012821,201.7234704,-1,,,,
2024,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8595.543478,190.3391735,AS,0.612792271,194.7749747,AS,0.612792271,194.7749747,-1,,,,
2024,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7835.934066,199.8478775,AS,0.6204860673,200.9909481,AS,0.6204860673,200.9909481,-1,,,,
2024,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,6134.725275,194.6901139,AS,0.6426396303,193.4793595,AS,0.6426396303,193.4793595,-1,,,,
2023,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7451.956522,177.6370168,AS,0.6675078036,178.0321002,AS,0.6675078036,178.0321002,-1,,,,
2023,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,9338.586957,173.8748065,AS,0.6426933597,173.1355796,AS,0.6426933597,173.1355796,-1,,,,
2023,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8472.857143,187.2970209,AS,0.6292362165,186.477259,AS,0.6292362165,186.477259,-1,,,,
2023,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,6218.222222,198.563171,AS,0.6195411336,197.5594168,AS,0.6195411336,197.5594168,-1,,,,
2022,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7182.5,220.1821547,AS,0.6137653415,216.3541436,AS,0.6137653415,216.3541436,-1,,,,
2022,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7780.869565,232.3321007,AS,0.5921993742,231.569289,AS,0.5921993742,231.569289,-1,,,,
2022,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7354.395604,228.9363108,AS,0.5994471423,225.3185652,AS,0.5994471423,225.3185652,-1,,,,
2022,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,5811.333333,173.993983,AS,0.6318305227,171.0454821,AS,0.6318305227,171.0454821,-1,,,,
2021,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,6839.782609,173.5564171,AS,0.6360963672,170.9561671,AS,0.6360963672,170.9561671,-1,,,,
2021,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7603.26087,147.0494396,AS,0.6493066476,145.1098175,AS,0.6493066476,145.1098175,-1,,,,
2021,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,5124.065934,131.535613,AS,0.7146196573,129.3227297,AS,0.7146196573,129.3227297,-1,,,,
2021,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,2110.444444,125.0042119,AS,0.7508160472,124.8430685,AS,0.7508160472,124.8430685,-1,,,,
2020,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,2377.717391,145.3019474,AS,0.673234286,146.0110206,AS,0.673234286,146.0110206,-1,,,,
2020,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,2395.434783,146.6819221,AS,0.676286414,148.307602,AS,0.676286414,148.307602,-1,,,,
2020,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,928.5714286,170.0481893,AS,0.646982249,174.2652643,DL,0.220473373,172.1813741,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}",,
2020,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,5386.373626,161.6347213,AS,0.639607475,161.1580556,AS,0.639607475,161.1580556,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}",,
2019,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8405.543478,171.1421862,AS,0.629062084,171.5181166,AS,0.629062084,171.5181166,-1,,,,
2019,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,9158.804348,165.7904606,AS,0.605012995,165.028143,AS,0.605012995,165.028143,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}",,
2019,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8533.406593,166.9187395,AS,0.609421279,166.7198779,AS,0.609421279,166.7198779,-1,,,,
2019,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7042.222222,166.7993563,AS,0.609372042,168.9718192,DL,0.198785106,165.0932614,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}",,
2018,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8244.021739,181.1204127,AS,0.631841255,179.0648408,AS,0.631841255,179.0648408,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}",,
2018,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,9252.934783,175.756162,AS,0.61845243,172.2765761,AS,0.61845243,172.2765761,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}",,
2018,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,9269.010989,164.0194931,AS,0.608680704,161.1959974,AS,0.608680704,161.1959974,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}",,
2018,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7240.666667,155.5514333,AS,0.555120768,155.9498383,AS,0.555120768,155.9498383,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2017,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8096.304348,157.8343608,AS,0.565247161,160.7761513,AS,0.565247161,160.7761513,-1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2017,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,9417.934783,146.8328975,AS,0.532206128,151.8059137,DL,0.210918114,143.1385992,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2017,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8959.010989,148.6093908,AS,0.564990739,148.516595,AS,0.564990739,148.516595,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2017,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7428.111111,134.9857763,AS,0.560662947,136.4835254,AS,0.560662947,136.4835254,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2016,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8375.108696,137.8326355,AS,0.533503783,140.6253169,AS,0.533503783,140.6253169,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2016,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,9702.717391,131.4677824,AS,0.505125189,138.4049967,DL,0.190701843,126.1697527,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2016,2,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8570.21978,134.8193271,AS,0.545743631,141.3012852,DL,0.152752311,134.8076639,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2016,1,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,6637.912088,149.7570963,AS,0.587368595,151.8131595,WN,0.113964076,137.7294015,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2015,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,7448.586957,160.2250631,AS,0.612050725,161.2926017,WN,0.111255418,152.0305876,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
2015,3,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",978,8122.5,164.5362801,AS,0.593440122,166.7187999,WN,0.10966585,152.5584381,1,"{'type': 'Point', 'coordinates': [-118.243344, 34.052238]}","{'type': 'Point', 'coordinates': [-122.33028, 47.603229]}","Los Angeles, CA (Metropolitan Area)","Seattle, WA"
